,price,area_total,area_util,quarto,banheiro,vaga,bairro
2341,R$ 280.000,28 m² área total,28 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
2342,R$ 1.080.000,52 m² área total,52 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Jardins
2343,R$ 530.000,65 m² área total,65 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Ipiranga
2344,R$ 4.200.000,210 m² área total,210 m² área útil,2 Quartos,3 Banheiros,3 Vagas,<span> Itaim Bibi
2345,R$ 283.000,30 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
2346,R$ 1.300.000,147 m² área total,107 m² área útil,3 Quartos,4 Banheiros,2 Vagas,<span> Saúde
2347,R$ 735.000,60 m² área total,38 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardim Paulista
2348,R$ 635.000,40 m² área total,40 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Nova Conceição
2349,R$ 480.000,58 m² área total,58 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Saúde
2350,R$ 1.235.000,237 m² área total,126 m² área útil,4 Quartos,4 Banheiros,2 Vagas,<span> Vila Pompéia
2351,R$ 495.000,31 m² área total,31 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Cerqueira César
2352,R$ 2.950.000,292 m² área total,212 m² área útil,3 Quartos,3 Banheiros,3 Vagas,<span> Pinheiros
2353,R$ 5.100.000,500 m² área total,500 m² área útil,4 Quartos,2 Banheiros,4 Vagas,<span> Vila Uberabinha
2354,R$ 460.000,42 m² área total,42 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
2355,R$ 3.685.000,300 m² área total,282 m² área útil,4 Quartos,3 Banheiros,3 Vagas,<span> Higien
2356,R$ 280.000,28 m² área total,28 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
2357,R$ 280.000,28 m² área total,28 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
2358,R$ 310.000,30 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
2359,R$ 450.000,58 m² área total,58 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Jardim Bonfiglioli
2360,R$ 200.000,31 m² área total,31 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Granja Julieta
2361,R$ 245.000,80 m² área total,31 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Paraíso
2362,R$ 212.000,32 m² área total,32 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Bela Vista
2363,R$ 320.000,33 m² área total,33 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
2364,R$ 2.200.000,137 m² área total,137 m² área útil,3 Quartos,3 Banheiros,3 Vagas,<span> Moema
2365,R$ 1.190.000,227 m² área total,127 m² área útil,3 Quartos,2 Banheiros,2 Vagas,<span> Vila Guarani
2366,R$ 823.500,130 m² área total,79 m² área útil,0 Quartos,2 Banheiros,2 Vagas,<span> Aclimação
2367,R$ 540.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
